1,2023,18-24,JavaScript,11.14,25.08
2,2023,18-24,Python,10.07,25.08
3,2023,18-24,HTML/CSS,9.99,25.08
4,2023,18-24,SQL,7.56,25.08
5,2023,18-24,TypeScript,6.81,25.08
6,2023,25-34,JavaScript,12.61,38.4
7,2023,25-34,HTML/CSS,10.23,38.4
8,2023,25-34,SQL,9.47,38.4
9,2023,25-34,Python,9.45,38.4
10,2023,25-34,TypeScript,8.69,38.4
11,2023,35-44,JavaScript,12.57,23.32
12,2023,35-44,SQL,10.31,23.32
13,2023,35-44,HTML/CSS,9.85,23.32
14,2023,35-44,Python,8.38,23.32
15,2023,35-44,TypeScript,7.67,23.32
16,2023,45-54,JavaScript,11.33,9.47
17,2023,45-54,SQL,10.96,9.47
18,2023,45-54,HTML/CSS,9.08,9.47
19,2023,45-54,Python,7.76,9.47
20,2023,45-54,Bash/Shell (all shells),6.83,9.47
21,2023,55-64,SQL,11.18,3.72
22,2023,55-64,JavaScript,9.86,3.72
23,2023,55-64,HTML/CSS,8.09,3.72
24,2023,55-64,Python,7.64,3.72
25,2023,55-64,Bash/Shell (all shells),6.06,3.72
26,2022,18-24,JavaScript,11.98,27.27
27,2022,18-24,HTML/CSS,10.65,27.27
28,2022,18-24,Python,10.07,27.27
29,2022,18-24,SQL,8.41,27.27
30,2022,18-24,Java,7.37,27.27
31,2022,25-34,JavaScript,13.4,41.38
32,2022,25-34,HTML/CSS,10.85,41.38
33,2022,25-34,SQL,10.1,41.38
34,2022,25-34,Python,9.24,41.38
35,2022,25-34,TypeScript,8.13,41.38
36,2022,35-44,JavaScript,12.87,20.9
37,2022,35-44,SQL,10.82,20.9
38,2022,35-44,HTML/CSS,10.25,20.9
39,2022,35-44,Python,8.01,20.9
40,2022,35-44,TypeScript,7.14,20.9
41,2022,45-54,JavaScript,11.57,7.8
42,2022,45-54,SQL,11.46,7.8
43,2022,45-54,HTML/CSS,9.5,7.8
44,2022,45-54,Python,7.6,7.8
45,2022,45-54,C#,6.76,7.8
46,2022,55-64,SQL,11.66,2.66
47,2022,55-64,JavaScript,10.43,2.66
